day,covid19,noncovid19,free
2020-03-30,12,0,8
2020-03-31,12,0,9
2020-04-01,11,1,9
2020-04-02,10,2,9
2020-04-03,11,3,17
2020-04-04,10,4,17
2020-04-05,12,5,14
2020-04-06,10,4,17
2020-04-07,10,7,14
2020-04-08,10,4,17
2020-04-09,10,4,17
2020-04-10,11,4,16
2020-04-11,11,4,16
2020-04-12,10,1,20
2020-04-13,10,3,18
2020-04-14,11,1,19
2020-04-15,12,0,19
2020-04-16,11,0,20
2020-04-17,10,3,7
2020-04-18,10,3,7
2020-04-19,9,3,8
2020-04-20,10,2,8
2020-04-21,7,3,6
2020-04-22,6,2,8
2020-04-23,6,1,9
2020-04-24,6,2,8
2020-04-25,4,2,10
2020-04-26,3,2,11
2020-04-27,3,3,10
2020-04-28,3,2,11
2020-04-29,3,2,11
2020-04-30,5,0,8
2020-05-01,2,0,11
2020-05-02,2,2,9
2020-05-03,2,0,11
2020-05-04,3,2,8
2020-05-05,3,1,9
2020-05-06,2,2,9
2020-05-07,2,1,10
2020-05-08,1,1,11
2020-05-09,1,1,11
2020-05-10,1,2,10
2020-05-11,1,2,10
2020-05-12,1,2,10
2020-05-13,1,5,7
2020-05-14,1,2,10
2020-05-15,1,4,8
2020-05-16,1,4,8
2020-05-17,1,4,8
2020-05-18,2,0,11
2020-05-19,2,0,11
2020-05-20,1,3,9
2020-05-21,1,3,9
2020-05-22,1,5,7
2020-05-23,1,5,7
2020-05-24,1,5,7
2020-05-25,1,2,10
2020-05-26,1,2,10
2020-05-27,1,2,10
2020-05-28,1,2,10
2020-05-29,0,5,8
2020-05-30,0,5,8
2020-05-31,0,5,8
2020-06-01,0,5,8
2020-06-02,0,5,8
2020-06-03,0,5,8
2020-06-04,0,5,8
2020-06-05,0,5,8
2020-06-06,0,5,8
2020-06-07,0,5,8
2020-06-08,0,6,7
2020-06-09,0,6,7
2020-06-10,0,6,7
2020-06-11,1,1,11
2020-06-12,1,1,11
2020-06-13,1,1,11
2020-06-14,1,1,11
2020-06-15,1,1,11
2020-06-16,0,5,5
2020-06-17,0,5,5
2020-06-18,0,6,4
2020-06-19,0,6,4
2020-06-20,0,6,4
2020-06-21,0,6,4
2020-06-22,0,6,4
2020-06-23,0,6,4
2020-06-24,0,6,4
2020-06-25,0,7,3
2020-06-26,0,7,3
2020-06-27,0,7,3
2020-06-28,0,7,3
2020-06-29,0,7,3
2020-06-30,0,7,3
2020-07-01,0,7,3
2020-07-02,0,3,7
2020-07-03,0,3,7
2020-07-04,0,3,7
2020-07-05,0,3,7
2020-07-06,0,3,7
2020-07-07,0,6,4
2020-07-08,0,6,4
2020-07-09,0,6,4
2020-07-10,0,6,4
2020-07-11,0,6,4
2020-07-12,0,6,4
2020-07-13,0,5,5
2020-07-14,0,4,6
2020-07-15,0,3,7
2020-07-16,0,6,4
2020-07-17,1,4,5
2020-07-18,1,4,5
2020-07-19,1,4,5
2020-07-20,0,8,2
2020-07-21,0,4,6
2020-07-22,0,7,3
2020-07-23,0,7,3
2020-07-24,0,5,5
2020-07-25,0,5,5
2020-07-26,0,5,5
2020-07-27,0,6,4
2020-07-28,0,6,4
2020-07-29,0,5,5
2020-07-30,0,5,5
2020-07-31,2,5,3
2020-08-01,2,5,3
2020-08-02,2,5,3
2020-08-03,2,5,3
2020-08-04,1,5,4
2020-08-05,1,5,4
2020-08-06,1,2,7
2020-08-07,1,4,5
2020-08-08,1,4,5
2020-08-09,1,4,5
2020-08-10,1,4,5
2020-08-11,0,5,5
2020-08-12,0,4,6
2020-08-13,0,4,6
2020-08-14,0,4,6
2020-08-15,0,4,6
2020-08-16,0,4,6
2020-08-17,0,6,4
2020-08-18,0,5,5
2020-08-19,0,4,6
2020-08-20,0,5,5
2020-08-21,0,7,3
2020-08-22,0,7,3
2020-08-23,0,7,3
2020-08-24,0,5,5
2020-08-25,0,5,5
2020-08-26,0,5,5
2020-08-27,0,5,5
2020-08-28,0,2,8
2020-08-29,0,2,8
2020-08-30,0,2,8
2020-08-31,0,3,7
2020-09-01,0,3,7
2020-09-02,0,1,9
2020-09-03,0,1,9
2020-09-04,0,5,5
2020-09-05,0,5,5
2020-09-06,0,5,5
2020-09-07,0,5,5
2020-09-08,0,4,6
2020-09-09,0,3,7
2020-09-10,0,6,4
2020-09-11,0,5,5
2020-09-12,0,5,5
2020-09-13,0,5,5
2020-09-14,0,6,4
2020-09-15,0,4,6
2020-09-16,0,3,7
2020-09-17,0,3,7
2020-09-18,1,4,5
2020-09-19,1,4,5
2020-09-20,1,4,5
2020-09-21,1,4,5
